sent
1	Кстати	0 кстати CONJ Prnt
4763	Грузии	0 Грузия NOUN femn inan sing gent
4764	о	0 о PREP
4765	взаимодействии	0 взаимодействие NOUN neut inan sing loct
4766	в	0 в PREP
4767	восстановлении	0 восстановление NOUN neut inan sing loct
4768	экономики	0 экономика NOUN femn inan sing gent
4769	в	0 в PREP
4770	зоне	0 зона NOUN femn inan sing loct
4771	грузино-осетинского	0 грузино-осетинский ADJF masc sing gent
4772	конфликта	0 конфликт NOUN masc inan sing gent
4773	и	0 и CONJ
4774	в	0 в PREP
4775	возвращении	0 возвращение NOUN neut inan sing loct
4776	беженцев	0 беженец NOUN masc anim plur gent
4777	от	0 от PREP
4778	23	0 23 NUMR
4779	декабря	0 декабрь NOUN masc inan sing gent
4780	2000	0 2000 NUMR
4781	г	0 год NOUN masc inan sing gent
4782	.	0 . PNCT
4783	,	0 , PNCT
4784	что	0 что ADJF Apro Subx neut sing nomn
4785	способствовало	0 способствовать VERB impf intr actv neut sing past indc
4786	бы	0 бы PRCL
4787	созданию	0 создание NOUN neut inan sing datv
4788	благоприятных	0 благоприятный ADJF plur gent
4789	условий	0 условие NOUN neut inan plur gent
4790	для	0 для PREP
4791	продвижения	0 продвижение NOUN neut inan sing gent
4792	переговорного	0 переговорный ADJF masc sing gent
4793	процесса	0 процесс NOUN masc inan sing gent
4794	и	0 и CONJ
4795	по	0 по PREP
4796	другим	0 другой ADJF Apro plur datv
4797	вопросам	0 вопрос NOUN masc inan plur datv
4798	урегулирования	0 урегулирование NOUN neut inan sing gent
4799	.	0 . PNCT
/sent
sent
4799	Поэтому	0 поэтому ADVB Ques
4800	дети	0 ребенок NOUN masc anim plur nomn
4801	,	0 , PNCT
4801	которые	0 который ADJF Apro plur nomn
4802	росли	0 расти VERB impf intr actv plur past indc
4803	на	0 на PREP
4804	коровьем	0 коровий ADJF neut sing loct
4805	молоке	0 молоко NOUN neut inan sing loct
4806	,	0 , PNCT
4806	часто	0 часто ADVB
4807	болеют	0 болеть VERB impf intr actv plur pres 3per indc
4808	рахитом	0 рахит NOUN masc inan sing ablt
4809	.	0 . PNCT
/sent
sent
4809	Гусеницы	0 гусеница NOUN femn anim plur nomn
4810	зимующего	0 зимовать PRTF impf intr actv masc sing gent pres
4811	побеговьюна	0 побеговьюн NOUN masc anim sing gent
4812	живут	0 жить VERB impf intr actv plur pres 3per indc
4813	в	0 в PREP
4814	основании	0 основание NOUN neut inan sing loct
4815	растущего	0 расти PRTF impf intr actv masc sing gent pres
4816	побега	0 побег NOUN masc inan sing gent
4817	и	0 и CONJ
4818	зачастую	0 зачастую ADVB
4819	приводят	0 приводить VERB impf tran plur actv pres 3per indc
4820	его	0 он ADJF Apro Subx masc sing 3per accs
4821	к	0 к PREP
4822	гибели	0 гибель NOUN femn inan sing datv
4823	.	0 . PNCT
/sent
sent
4823	У	0 у PREP
4824	азера	0 азер NOUN masc anim sing gent
4825	обнаружили	0 обнаружить VERB perf tran plur actv past indc
4826	заначку	0 заначка NOUN femn inan sing accs
4827	анаши	0 анаша NOUN femn inan sing gent
4828	.	0 . PNCT
/sent
sent
4828	Для	0 для PREP
4829	очередной	0 очередной ADJF femn sing gent
4830	детали	0 деталь NOUN femn inan sing gent
4831	на	0 на PREP
4832	каждой	0 каждый ADJF Apro femn sing loct
4833	итерации	0 итерация NOUN femn inan sing loct
4834	подбирается	0 подбираться VERB impf intr sing pres 3per indc
4835	наиболее	0 наиболее ADVB
4836	подходящий	0 подходящий ADJF masc sing nomn
4837	для	0 для PREP
4838	неё	0 она ADJF Apro Subx femn sing 3per gent
4839	остаток	0 остаток NOUN masc inan sing nomn
4840	.	0 . PNCT
/sent
sent
4840	Причина	0 причина NOUN femn inan sing nomn
4841	наверняка	0 наверняка PRCL
4842	та	0 тот ADJF Apro femn sing nomn
4843	же	0 же PRCL
4844	,	0 , PNCT
4844	что	0 что CONJ
4845	и	0 и CONJ
4846	у	0 у PREP
4847	переноса	0 перенос NOUN masc inan sing gent
4848	сроков	0 срок NOUN masc inan plur gent
4849	реформы	0 реформа NOUN femn inan sing gent
4850	электроэнергетики	0 электроэнергетика NOUN femn inan sing gent
4851	-	0 - PNCT
4851	сохранение	0 сохранение NOUN neut inan sing nomn
4852	статуса-кво	0 статус-кво NOUN masc inan sing gent
4853	до	0 до PREP
4854	выборов	0 выборы NOUN plur gent
4855	.	0 . PNCT
/sent
sent
4855	В	0 в PREP
4856	волны	0 волна NOUN femn inan plur accs
4857	бросил	0 бросить VERB perf tran masc sing actv past indc
4858	красную	0 красный ADJF femn sing accs
4859	девицу	0 девица NOUN femn anim sing accs
4860	.	0 . PNCT
/sent
sent
4860	Рад	0 рад ADJS sing masc
4861	,	0 , PNCT
4861	что	0 что CONJ
4862	по	0 по PREP
4863	всем	0 весь ADJF Apro plur datv
4864	обсуждавшимся	0 обсуждаться PRTF impf intr plur datv past
4865	вопросам	0 вопрос NOUN masc inan plur datv
4866	у	0 у PREP
4867	нас	0 мы ADJF Apro Subx plur 1per gent
4868	подтвердились	0 подтвердиться VERB perf intr plur past indc
4869	понимание	0 понимание NOUN neut inan sing nomn
4870	и	0 и CONJ
4871	стремление	0 стремление NOUN neut inan sing nomn
4872	действовать	0 действовать INFN impf intr actv
4873	сообща	0 сообща ADVB
4874	.	0 . PNCT
/sent
sent
4874	Вода	0 вода NOUN femn inan sing nomn
4875	не	0 не PRCL
4876	откачивается	0 откачиваться VERB impf intr sing pres 3per indc
4877	из	0 из PREP
4878	зоны	0 зона NOUN femn inan sing gent
4879	реакции	0 реакция NOUN femn inan sing gent
4880	.	0 . PNCT
/sent
sent
4880	Конечно	0 конечно CONJ Prnt
4881	,	0 , PNCT
4881	на	0 на PREP
4882	полной	0 полный ADJF femn sing loct
4883	скорости	0 скорость NOUN femn inan sing loct
4884	такие	0 такой ADJF Apro plur accs inan
4885	"	0 " PNCT
4885	мелочи	0 мелочь NOUN femn inan plur accs
4886	"	0 " PNCT
4886	заметить	0 заметить INFN perf tran actv
4887	трудно	0 трудно ADVB
4888	...	0 ... PNCT
/sent
sent
4888	Бесконечные	0 бесконечный ADJF plur nomn
4889	"	0 " PNCT
4889	ты	0 ты ADJF Apro Subx sing 2per nomn
4890	должен	0 должен ADJS masc sing
4891	""	0 "" PNCT
4891	мы	0 мы ADJF Apro Subx plur 1per nomn
4892	всё	0 всё ADJF Apro Subx neut sing accs
4893	для	0 для PREP
4894	тебя	0 ты ADJF Apro Subx sing 2per gent
4895	,	0 , PNCT
4895	а	0 а CONJ
4896	ты	0 ты ADJF Apro Subx sing 2per nomn
4897	...	0 ... PNCT
/sent
sent
4897	Эффективность	0 эффективность NOUN femn inan sing nomn
4898	и	0 и CONJ
4899	технические	0 технический ADJF plur nomn
4900	требования	0 требование NOUN neut inan plur nomn
/sent
sent
4901	И	0 и CONJ
4902	она	0 она ADJF Apro Subx femn sing 3per nomn
4903	идёт	0 идти VERB impf intr actv sing pres 3per indc
4904	,	0 , PNCT
4904	послушная	0 послушный ADJF femn sing nomn
4905	,	0 , PNCT
4905	за	0 за PREP
4906	своим	0 свой ADJF Apro masc sing ablt
4907	учителем	0 учитель NOUN masc anim sing ablt
4908	.	0 . PNCT
/sent
sent
4908	Кроме	0 кроме PREP
4909	того	0 то ADJF Apro Subx neut sing gent
4910	,	0 , PNCT
4910	предоставляется	0 предоставляться VERB impf intr sing pres 3per indc
4911	доступ	0 доступ NOUN masc inan sing nomn
4912	заказчиков	0 заказчик NOUN masc anim plur gent
4913	в	0 в PREP
4914	систему	0 система NOUN femn inan sing accs
4915	документооборота	0 документооборот NOUN masc inan sing gent
4916	и	0 и CONJ
4917	ведения	0 ведение NOUN neut inan sing gent
4918	обмена	0 обмен NOUN masc inan sing gent
4919	документами	0 документ NOUN masc inan plur ablt
4920	в	0 в PREP
4921	проектах	0 проект NOUN masc inan plur loct
4922	по	0 по PREP
4923	единой	0 единый ADJF femn sing datv
4924	схеме	0 схема NOUN femn inan sing datv
4925	,	0 , PNCT
4925	а	0 а CONJ
4926	также	0 также PRCL
4927	централизованное	0 централизованный ADJF neut sing nomn
4928	хранение	0 хранение NOUN neut inan sing nomn
4929	документов	0 документ NOUN masc inan plur gent
4930	.	0 . PNCT
/sent
sent
4930	Нас	0 мы ADJF Apro Subx plur 1per accs
4931	это	0 это ADJF Apro Subx neut sing nomn
4932	не	0 не PRCL
4933	беспокоило	0 беспокоить VERB impf tran neut sing actv past indc
4934	-	0 - PNCT
4934	к	0 к PREP
4935	тому	0 том NOUN masc inan sing datv
4936	времени	0 время NOUN neut inan sing datv
4937	все	0 весь ADJF Apro plur nomn
4938	ежедневные	0 ежедневный ADJF plur nomn
4939	общероссийские	0 общероссийский ADJF plur nomn
4940	газеты	0 газета NOUN femn inan plur nomn
4941	стали	0 стать VERB perf intr actv plur past indc
4942	собственностью	0 собственность NOUN femn inan sing ablt
4943	"	0 " PNCT
4943	Мост-банка	0 Мост-банк NOUN masc inan sing gent
4944	"	0 " PNCT
4945	,	0 , PNCT
4946	 	0   PNCT
4947	"	0 " PNCT
4948	Газпрома	0 Газпром NOUN masc inan sing gent
4949	"	0 " PNCT
4950	,	0 , PNCT
4951	ЛОГОВАЗа	0 Логоваз NOUN masc inan sing gent
4952	и	0 и CONJ
4953	других	0 другой ADJF Apro plur gent
4954	структур	0 структура NOUN femn inan plur gent
4955	.	0 . PNCT
/sent
sent
4955	ОАО	0 оао NOUN neut inan Fixd sing nomn
4956	«	0 « PNCT
4956	Сургутнефтегаз	0 Сургутнефтегаз NOUN masc inan sing nomn
4957	»	0 » PNCT
4957	предполагает	0 предполагать VERB impf tran sing actv pres 3per indc
4958	перевести	0 перевести INFN perf tran actv
4959	свои	0 свой ADJF Apro plur accs inan
4960	ценные	0 ценный ADJF plur accs inan
4961	бумаги	0 бумага NOUN femn inan plur accs
4962	в	0 в PREP
4963	котировальный	0 котировальный ADJF masc sing accs inan
4964	лист	0 лист NOUN masc inan sing accs
4965	первого	0 первый ADJF Anum masc sing gent
4966	уровня	0 уровень NOUN masc inan sing gent
4967	фондовой	0 фондовый ADJF femn sing gent
4968	биржи	0 биржа NOUN femn inan sing gent
4969	РТС	0 РТС NOUN femn inan Fixd sing gent
4970	после	0 после PREP
4971	раскрытия	0 раскрытие NOUN neut inan sing gent
4972	осенью	0 осень NOUN femn inan sing ablt
4973	отчётности	0 отчетность NOUN femn inan sing gent
4974	по	0 по PREP
4975	стандартам	0 стандарт NOUN masc inan plur datv
4976	US	0 US UNKN
4977	GAAP	0 GAAP UNKN
4978	за	0 за PREP
4979	2001	0 2001 NUMR
4980	год	0 год NOUN masc inan sing accs
4981	.	0 . PNCT
/sent
sent
4981	Данная	0 данный ADJF Apro femn sing nomn
4982	проблема	0 проблема NOUN femn inan sing nomn
4983	отражает	0 отражать VERB impf tran sing actv pres 3per indc
4984	следующие	0 следующий ADJF plur accs inan
4985	особенности	0 особенность NOUN femn inan plur accs
4986	задачи	0 задача NOUN femn inan sing gent
4987	(	0 ( PNCT
4987	1	0 1 NUMR
4988	)	0 ) PNCT
4989	:	0 : PNCT
/sent
sent
4990	Но	0 но CONJ
4991	история	0 история NOUN femn inan sing nomn
4992	самого	0 сам ADJF Apro masc sing gent
4993	города	0 город NOUN masc inan sing gent
4994	Геленджика	0 Геленджик NOUN masc inan sing gent
4995	насчитывает	0 насчитывать VERB impf tran sing actv pres 3per indc
4996	100	0 100 NUMR
4997	лет	0 год NOUN masc inan plur gent
4998	.	0 . PNCT
/sent
sent
4998	Пиночет	0 Пиночет NOUN masc anim sing nomn
4999	родился	0 родиться VERB perf intr masc sing past indc
5000	25	0 25 NUMR
5001	ноября	0 ноябрь NOUN masc inan sing gent
5002	1915	0 1915 NUMR
5003	года	0 год NOUN masc inan sing gent
5004	в	0 в PREP
5005	Вальпараисо	0 Вальпараисо NOUN masc inan Fixd sing loct
5006	,	0 , PNCT
5006	главном	0 главный ADJF masc sing loct
5007	порту	0 порт NOUN masc inan sing loc2
5008	страны	0 страна NOUN femn inan sing gent
5009	,	0 , PNCT
5009	который	0 который ADJF Apro masc sing accs inan
5010	именуют	0 именовать VERB impf tran plur actv pres 3per indc
5011	морскими	0 морской ADJF plur ablt
5012	воротами	0 ворота NOUN plur ablt
5013	чилийской	0 чилийский ADJF femn sing gent
5014	столицы	0 столица NOUN femn inan sing gent
5015	:	0 : PNCT
5015	от	0 от PREP
5016	Вальпараисо	0 Вальпараисо NOUN masc inan Fixd sing gent
5017	до	0 до PREP
5018	Сантьяго	0 Сантьяго NOUN masc inan Fixd sing gent
5019	всего	0 всего PRCL
5020	124	0 124 NUMR
5021	километра	0 километр NOUN masc inan sing gent
5022	.	0 . PNCT
/sent
sent
5022	Galazka	0 Galazka UNKN
5023	A	0 A UNKN
5024	.	0 . PNCT
5024	М	0 М UNKN
5025	.	0 . PNCT
5026	,	0 , PNCT
5027	Robertson	0 Robertson UNKN
5028	S	0 S UNKN
5029	.	0 . PNCT
5029	E	0 E UNKN
5030	.	0 . PNCT
5031	,	0 , PNCT
5032	Kraigher	0 Kraigher UNKN
5033	A	0 A UNKN
5034	.	0 . PNCT
5034	mumps	0 mumps UNKN
5035	and	0 and UNKN
5036	mumps	0 mumps UNKN
5037	vaccine	0 vaccine UNKN
5038	:	0 : PNCT
5038	Global	0 Global UNKN
5039	review	0 review UNKN
5040	//	0 // PNCT
5040	Bull	0 Bull UNKN
5041	.	0 . PNCT
/sent
sent
5041	Проект	0 проект NOUN masc inan sing nomn
5042	с	0 с PREP
5043	треском	0 треск NOUN masc inan sing ablt
5044	провалился	0 провалиться VERB perf intr masc sing past indc
5045	.	0 . PNCT
/sent
sent
5045	Правда	0 правда CONJ Prnt
5046	,	0 , PNCT
5046	интерес	0 интерес NOUN masc inan sing nomn
5047	к	0 к PREP
5048	техническому	0 технический ADJF neut sing datv
5049	регулированию	0 регулирование NOUN neut inan sing datv
5050	сошёл	0 сойти VERB perf intr actv masc sing past indc
5051	на	0 на PREP
5052	нет	0 нет PRCL
5053	задолго	0 задолго ADVB
5054	до	0 до PREP
5055	дня	0 день NOUN masc inan sing gent
5056	принятия	0 принятие NOUN neut inan sing gent
5057	закона	0 закон NOUN masc inan sing gent
5058	--	0 -- PNCT
5058	15	0 15 NUMR
5059	декабря	0 декабрь NOUN masc inan sing gent
5060	2002	0 2002 NUMR
5061	г	0 год NOUN masc inan sing gent
5062	.	0 . PNCT
5062	А	0 а CONJ
5063	ведь	0 ведь PRCL
5064	был	0 быть VERB impf intr actv masc sing past indc
5065	повод	0 повод NOUN masc inan sing nomn
5066	:	0 : PNCT
5066	Всемирный	0 всемирный ADJF masc sing nomn
5067	день	0 день NOUN masc inan sing nomn
5068	качества	0 качество NOUN neut inan sing gent
5069	(	0 ( PNCT
5069	14	0 14 NUMR
5070	ноября	0 ноябрь NOUN masc inan sing gent
5071	)	0 ) PNCT
5071	и	0 и CONJ
5072	международная	0 международный ADJF femn sing nomn
5073	конференция	0 конференция NOUN femn inan sing nomn
5074	в	0 в PREP
5075	Москве	0 Москва NOUN femn inan sing loct
5076	"	0 " PNCT
5076	Качество	0 качество NOUN neut inan sing nomn
5077	--	0 -- PNCT
5077	путь	0 путь NOUN masc inan sing nomn
5078	к	0 к PREP
5079	совершенству	0 совершенство NOUN neut inan sing datv
5080	"	0 " PNCT
5081	.	0 . PNCT
/sent
sent
5082	Нет	0 нет PRED
5083	каталогов	0 каталог NOUN masc inan plur gent
5084	.	0 . PNCT
/sent
sent
5084	И	0 и CONJ
5085	ещё	0 еще ADVB
5086	один	0 один ADJF Apro masc sing nomn
5087	факт	0 факт NOUN masc inan sing nomn
5088	,	0 , PNCT
5088	который	0 который ADJF Apro masc sing accs inan
5089	,	0 , PNCT
5089	впрочем	0 впрочем CONJ Prnt
5090	,	0 , PNCT
5090	телевидение	0 телевидение NOUN neut inan sing nomn
5091	тщательно	0 тщательно ADVB
5092	скрывает	0 скрывать VERB impf tran sing actv pres 3per indc
5093	от	0 от PREP
5094	зрителей	0 зритель NOUN masc anim plur gent
5095	,	0 , PNCT
5096	-	0 - PNCT
5097	-	0 - PNCT
5098	большинство	0 большинство NOUN neut inan sing nomn
5099	телевизионных	0 телевизионный ADJF plur gent
5100	игр	0 игра NOUN femn inan plur gent
5101	не	0 не PRCL
5102	являются	0 являться VERB impf intr plur pres 3per indc
5103	честными	0 честный ADJF plur ablt
5104	,	0 , PNCT
5104	хотя	0 хотя PRCL
5105	бы	0 бы PRCL
5106	уже	0 уже ADVB
5107	потому	0 потому ADVB Ques
5108	,	0 , PNCT
5108	что	0 что CONJ
5109	сознательно	0 сознательно ADVB
5110	вводят	0 вводить VERB impf tran plur actv pres 3per indc
5111	в	0 в PREP
5112	заблуждение	0 заблуждение NOUN neut inan sing accs
5113	и	0 и CONJ
5114	зрителей	0 зритель NOUN masc anim plur accs
5115	,	0 , PNCT
5115	и	0 и CONJ
5116	игроков	0 игрок NOUN masc anim plur accs
5117	,	0 , PNCT
5117	выдавая	0 выдавать GRND impf tran actv pres
5118	за	0 за PREP
5119	прямой	0 прямой ADJF masc sing accs inan
5120	эфир	0 эфир NOUN masc inan sing accs
5121	то	0 то ADJF Apro Subx neut sing accs
5122	,	0 , PNCT
5122	что	0 что ADJF Apro Subx neut sing nomn
5123	идёт	0 идти VERB impf intr actv sing pres 3per indc
5124	в	0 в PREP
5125	записи	0 запись NOUN femn inan sing loct
5126	.	0 . PNCT
/sent
sent
5126	Наряду	0 наряду ADVB
5127	с	0 с PREP
5128	редактором	0 редактор NOUN masc anim sing ablt
5129	,	0 , PNCT
5129	в	0 в PREP
5130	работе	0 работа NOUN femn inan sing loct
5131	по	0 по PREP
5132	развитию	0 развитие NOUN neut inan sing datv
5133	любой	0 любой ADJF Apro femn sing gent
5134	газеты	0 газета NOUN femn inan sing gent
5135	принимают	0 принимать VERB impf tran plur actv pres 3per indc
5136	участие	0 участие NOUN neut inan sing accs
5137	менеджеры	0 менеджер NOUN masc anim plur nomn
5138	по	0 по PREP
5139	тиражу	0 тираж NOUN masc inan sing datv
5140	и	0 и CONJ
5141	рекламе	0 реклама NOUN femn inan sing datv
5142	.	0 . PNCT
/sent
sent
5142	Любое	0 любой ADJF Apro neut sing nomn
5143	дальнейшее	0 дальнейший ADJF neut sing nomn
5144	образование	0 образование NOUN neut inan sing nomn
5145	,	0 , PNCT
5145	профессиональное	0 профессиональный ADJF neut sing nomn
5146	или	0 или CONJ
5147	высшее	0 высший ADJF neut sing nomn
5148	,	0 , PNCT
5148	платное	0 платный ADJF neut sing nomn
5149	для	0 для PREP
5150	всех	0 все ADJF Apro Subx plur gent
5151	,	0 , PNCT
5151	независимо	0 независимо ADVB
5152	от	0 от PREP
5153	гражданства	0 гражданство NOUN neut inan sing gent
5154	--	0 -- PNCT
5154	от	0 от PREP
5155	$	0 $ PNCT
5155	4000	0 4000 NUMR
5156	в	0 в PREP
5157	год	0 год NOUN masc inan sing accs
5158	плюс	0 плюс CONJ
5159	проживание	0 проживание NOUN neut inan sing nomn
5160	,	0 , PNCT
5160	питание	0 питание NOUN neut inan sing nomn
5161	,	0 , PNCT
5161	учебники	0 учебник NOUN masc inan plur nomn
5162	,	0 , PNCT
5162	медицинское	0 медицинский ADJF neut sing nomn
5163	страхование	0 страхование NOUN neut inan sing nomn
5164	.	0 . PNCT
/sent
sent
5164	Пробует	0 пробовать VERB impf tran sing actv pres 3per indc
5165	замахнуться	0 замахнуться INFN perf intr
5166	,	0 , PNCT
5166	но	0 но CONJ
5167	вся	0 весь ADJF Apro femn sing nomn
5168	трясётся	0 трястись VERB impf intr sing pres 3per indc
5169	и	0 и CONJ
5170	опускается	0 опускаться VERB impf intr sing pres 3per indc
5171	на	0 на PREP
5172	барьер	0 барьер NOUN masc inan sing accs
5173	.	0 . PNCT
/sent
sent
5173	Летать	0 летать INFN impf intr actv
5174	обучат	0 обучить VERB perf tran plur actv futr 3per indc
5175	сначала	0 сначала ADVB
5176	без	0 без PREP
5177	приборов	0 прибор NOUN masc inan plur gent
5178	,	0 , PNCT
5178	используя	0 использовать GRND impf tran actv pres
5179	так	0 так ADVB Ques
5180	называемые	0 называть PRTF impf tran plur accs pssv pres
5181	визуальные	0 визуальный ADJF plur accs inan
5182	ориентиры	0 ориентир NOUN masc inan plur accs
5183	,	0 , PNCT
5183	а	0 а CONJ
5184	затем	0 затем ADVB
5185	и	0 и CONJ
5186	при	0 при PREP
5187	помощи	0 помощь NOUN femn inan sing loct
5188	радионавигационных	0 радионавигационный ADJF plur gent
5189	средств	0 средство NOUN neut inan plur gent
5190	.	0 . PNCT
/sent
sent
5190	Принцип	0 принцип NOUN masc inan sing nomn
5191	формирования	0 формирование NOUN neut inan sing gent
5192	графа	0 граф NOUN masc inan sing gent
5193	обменов	0 обмен NOUN masc inan plur gent
5194	достаточно	0 достаточно ADVB
5195	очевиден	0 очевидный ADJS masc sing
5196	.	0 . PNCT
/sent
sent
5196	ДИАНА	0 Диана NOUN femn anim sing nomn
5197	:	0 : PNCT
/sent
sent
5197	Итак	0 итак CONJ Prnt
5198	,	0 , PNCT
5198	приступим	0 приступить VERB perf intr actv sing impr incl
5199	к	0 к PREP
5200	сборке	0 сборка NOUN femn inan sing datv
5201	.	0 . PNCT
/sent
sent
5201	В	0 в PREP
5202	основу	0 основа NOUN femn inan sing accs
5203	оценки	0 оценка NOUN femn inan sing gent
5204	был	0 быть VERB impf intr actv masc sing past indc
5205	положен	0 положить PRTS perf masc sing pssv past
5206	простой	0 простой ADJF masc sing nomn
5207	принцип	0 принцип NOUN masc inan sing nomn
5208	,	0 , PNCT
5208	опробованный	0 опробовать PRTF impf tran masc sing nomn pssv past
5209	уже	0 уже ADVB
5210	во	0 во PREP
5211	многих	0 многий ADJF Apro plur loct
5212	рейтингах	0 рейтинг NOUN masc inan plur loct
5213	«	0 « PNCT
5213	Эксперт	0 эксперт NOUN masc anim sing nomn
5214	РА	0 ра NOUN neut inan Fixd sing gent
5215	»	0 » PNCT
5216	.	0 . PNCT
/sent
sent
5217	Татьяна	0 Татьяна NOUN femn anim sing nomn
5218	Михалкова	0 Михалкова NOUN femn anim sing nomn
5219	,	0 , PNCT
5219	посетившая	0 посетить PRTF perf tran femn sing nomn actv past
5220	,	0 , PNCT
5220	кстати	0 кстати CONJ Prnt
5221	,	0 , PNCT
5221	Самару	0 Самара NOUN femn inan sing accs
5222	впервые	0 впервые ADVB
5223	,	0 , PNCT
5223	не	0 не PRCL
5224	преминула	0 преминуть VERB perf intr actv femn sing past indc
5225	заметить	0 заметить INFN perf tran actv
5226	,	0 , PNCT
5226	что	0 что CONJ
5227	теперь	0 теперь ADVB Ques
5228	абсолютно	0 абсолютно ADVB
5229	согласна	0 согласный ADJS femn sing
5230	с	0 с PREP
5231	утверждением	0 утверждение NOUN neut inan sing ablt
5232	супруга	0 супруг NOUN masc anim sing gent
5233	о	0 о PREP
5234	том	0 то ADJF Apro Subx neut sing loct
5235	,	0 , PNCT
5235	что	0 что CONJ
5236	в	0 в PREP
5237	Самаре	0 Самара NOUN femn inan sing loct
5238	самые	0 самый ADJF Apro plur nomn
5239	красивые	0 красивый ADJF plur nomn
5240	женщины	0 женщина NOUN femn anim plur nomn
5241	.	0 . PNCT
/sent
sent
5241	Тогда	0 тогда ADVB Ques
5242	можно	0 можно PRED
5243	попытаться	0 попытаться INFN perf intr
5244	их	0 они ADJF Apro Subx plur 3per accs
5245	отменить	0 отменить INFN perf tran actv
5246	.	0 . PNCT
/sent
sent
5246	необходима	0 необходимый ADJS femn sing
5247	минимизация	0 минимизация NOUN femn inan sing nomn
5248	весов	0 вес NOUN masc inan plur gent
5249	рёбер	0 ребро NOUN neut inan plur gent
5250	(	0 ( PNCT
5250	или	0 или CONJ
5251	масс	0 масса NOUN femn inan plur gent
5252	балок	0 балка NOUN femn inan plur gent
5253	)	0 ) PNCT
5254	;	0 ; PNCT
/sent
sent
5255	После	0 после PREP
5256	подкормки	0 подкормка NOUN femn inan sing gent
5257	растения	0 растение NOUN neut inan plur accs
5258	поливают	0 поливать VERB impf tran plur actv pres 3per indc
5259	чистой	0 чистый ADJF femn sing ablt
5260	водой	0 вода NOUN femn inan sing ablt
5261	,	0 , PNCT
5261	смывая	0 смывать GRND impf tran actv pres
5262	с	0 с PREP
5263	листьев	0 лист NOUN masc inan plur gent
5264	капли	0 капля NOUN femn inan plur accs
5265	удобрения	0 удобрение NOUN neut inan sing gent
5266	.	0 . PNCT
/sent
sent
5266	После	0 после PREP
5267	этого	0 это ADJF Apro Subx neut sing gent
5268	отец	0 отец NOUN masc anim sing nomn
5269	вёл	0 вести VERB impf tran masc sing actv past indc
5270	в	0 в PREP
5271	баню	0 баня NOUN femn inan sing accs
5272	молодого	0 молодой NOUN masc anim sing accs
5273	.	0 . PNCT
/sent
sent
5273	Но	0 но CONJ
5274	,	0 , PNCT
5274	отчуждая	0 отчуждать GRND impf tran actv pres
5275	недвижимость	0 недвижимость NOUN femn inan sing accs
5276	в	0 в PREP
5277	пользу	0 польза NOUN femn inan sing accs
5278	банка	0 банк NOUN masc inan sing gent
5279	,	0 , PNCT
5279	мэрия	0 мэрия NOUN femn inan sing nomn
5280	в	0 в PREP
5281	то	0 тот ADJF Apro neut sing accs inan
5282	же	0 же PRCL
5283	время	0 время NOUN neut inan sing accs
5284	отказывала	0 отказывать VERB impf tran femn sing actv past indc
5285	арендаторам	0 арендатор NOUN masc anim plur datv
5286	в	0 в PREP
5287	реализации	0 реализация NOUN femn inan sing loct
5288	их	0 их ADJF Apro
5289	законных	0 законный ADJF plur gent
5290	прав	0 право NOUN neut inan plur gent
5291	по	0 по PREP
5292	приватизации	0 приватизация NOUN femn inan sing datv
5293	нежилых	0 нежилой ADJF plur gent
5294	помещений	0 помещение NOUN neut inan plur gent
5295	.	0 . PNCT
/sent
sent
5295	Джиму	0 Джим NOUN masc anim sing datv
5296	тоже	0 тоже PRCL
5297	было	0 быть VERB impf intr actv neut sing past indc
5298	трудно	0 трудно PRED
5299	играть	0 играть INFN impf tran actv
5300	Джоэла	0 Джоэл NOUN masc anim sing accs
5301	Бэриша	0 Бэриш NOUN masc anim sing accs
5302	--	0 -- PNCT
5302	скромного	0 скромный ADJF masc sing accs anim
5303	интровертного	0 интровертный ADJF masc sing accs anim
5304	парня	0 парень NOUN masc anim sing accs
5305	.	0 . PNCT
/sent
sent
5305	Мне	0 я ADJF Apro Subx sing 1per datv
5306	кажется	0 казаться VERB impf intr sing pres 3per indc
5307	,	0 , PNCT
5307	что	0 что CONJ
5308	они	0 они ADJF Apro Subx plur 3per nomn
5309	чересчур	0 чересчур ADVB
5310	кровожадные	0 кровожадный ADJF plur nomn
5311	--	0 -- PNCT
5311	в	0 в PREP
5312	них	0 они ADJF Apro Subx plur 3per loct
5313	много	0 много ADVB Ques
5314	стреляют	0 стрелять VERB impf tran plur actv pres 3per indc
5315	,	0 , PNCT
5315	постоянно	0 постоянно ADVB
5316	убивают	0 убивать VERB impf tran plur actv pres 3per indc
5317	.	0 . PNCT
/sent
sent
5317	Более	0 более ADVB
5318	полные	0 полный ADJF plur nomn
5319	исторические	0 исторический ADJF plur nomn
5320	материалы	0 материал NOUN masc inan plur nomn
5321	о	0 о PREP
5322	средствах	0 средство NOUN neut inan plur loct
5323	обезболивания	0 обезболивание NOUN neut inan sing gent
5324	сохранились	0 сохраниться VERB perf intr plur past indc
5325	со	0 со PREP
5326	времён	0 время NOUN neut inan plur gent
5327	Древней	0 древний ADJF femn sing gent
5328	Греции	0 Греция NOUN femn inan sing gent
5329	и	0 и CONJ
5330	Древнего	0 древний ADJF masc sing gent
5331	Рима	0 Рим NOUN masc inan sing gent
5332	.	0 . PNCT
/sent
sent
5332	И	0 и CONJ
